name,type,price_dk,season_availability,weight_g,length_cm,width_cm,height_cm,year,freight_charge
Knurhane,shellfish,118.70723507418812,Autumn,418.3425913212226,71.09918556005361,13.06454617834559,6.388016537881169,2021,9.126487448994235
Signalkrebs,fish,93.45882896483339,Winter,516.6383884564799,46.06723059136183,12.756744563974989,6.9468897337265965,2024,13.417616087914185
Havtaske,fish,93.36813263357612,Spring,327.3509633866546,38.168033812796125,8.621029683181009,5.355305130633409,2023,14.529706982836345
Kuller,shellfish,102.89122016069345,Summer,556.3547027518508,45.345056484805504,6.760472656655539,8.818129876668115,2023,12.56809472135471
Hornfisk,shellfish,88.75941381889713,Autumn,409.9041965121793,48.87655425873836,8.159237183911618,9.333255766913782,2024,16.078909876067584
Fjæsing,fish,97.23115014055558,Winter,456.2459375310085,36.793323744428086,10.58872282200016,5.300148724277454,2024,14.14758485881968
Sild,fish,107.39807504054005,Winter,409.74400816559046,57.95211355912322,11.637360140597067,7.089602190367682,2021,10.142741526894048
Levende_norsk_kongekrabbe,shellfish,128.43737616989415,Spring,777.8417276763407,42.30070759191402,3.485285785718657,5.305492164837302,2021,9.370861085713853
Rødtunge,fish,81.75306015517882,Autumn,497.9754162893099,44.97743089091394,9.975660395164748,6.202400379512325,2023,12.938982289127495
Fjordreje,fish,87.57114418117128,Autumn,341.34336065661495,46.659242520544616,10.474267675969552,9.1020341204526,2021,14.139328705548746
Multe,fish,139.9858118451819,Spring,623.3817368154783,44.21586610614456,9.167367231053346,6.533035866643441,2020,17.930083812344893
Kuller,fish,56.21467808078343,Winter,316.8734525043467,48.38940500469612,13.873821517047636,7.398348087935402,2021,16.97939600672444
Slethvar,shellfish,96.70432217296343,Summer,531.3295392507133,33.82746813453077,11.265340222752611,4.745376544105369,2020,9.009224170067023
Skrubbe,shellfish,56.38628680501349,Winter,206.04948141803368,34.41698246053969,13.93057572424269,8.373980419449328,2024,11.030771111414598
Ørred,fish,59.294073833404624,Summer,300.7720926652354,28.99845767028305,9.352118438949304,7.911453360310702,2024,14.586681902621743
Lange,fish,116.42000383191869,Spring,529.5291853803685,44.39501230620226,12.812432477520774,6.542081499933675,2023,16.412789779071275
Mørksej,fish,96.92859849772137,Summer,610.7699869993115,47.78936503512114,14.90519918358256,7.621971404635052,2023,15.819259556042045
Hornfisk,fish,98.47007824530316,Autumn,525.7052421784956,44.57772866151886,13.935080347817983,8.360589761006889,2024,11.206161968975806
Havkat,fish,105.76003401230022,Summer,482.6527576417639,56.744924333475375,6.723575219713801,6.370263702181312,2022,5.731495798828824
Gedde,fish,93.99800580105574,Spring,454.83444566160665,39.94403981170954,9.238971767372856,5.047474911996441,2022,6.9048926692702794
Hornfisk,fish,83.46167804127204,Autumn,278.22170144488587,46.687416555925125,8.964505883650611,11.61114886537363,2023,12.754114165869305
Norske_kammusling_i_skal,fish,80.28859735883474,Spring,392.02336874079367,29.08299123860686,11.467763605228985,6.733454590579455,2023,13.07423766535199
Gedde,fish,81.52652198020492,Autumn,430.9041843560319,36.12900297525599,12.0590606650436,7.806479793626221,2023,6.44607488220183
Levende_norsk_kongekrabbe,shellfish,111.16609484691567,Winter,658.5683339328374,46.95537757565778,7.483321977922791,10.021679470040628,2020,11.70502021009065
Nordsøreje,fish,101.9557548517464,Autumn,551.5427434352692,48.49102110743144,10.203515541750813,15.058110375140968,2023,14.403632042070205
Skrubbe,shellfish,64.03278454595,Winter,235.5439766955899,37.060330523358175,3.940218003531591,5.511027100222268,2020,6.204357375467138
Kuller,shellfish,108.28291643373461,Winter,548.6125954092192,39.28400748141933,14.32583501740567,8.89965442745302,2023,16.582987128300307
Stenbider,shellfish,88.22465931287405,Spring,442.2376579375525,24.821262533191906,8.46287727796992,6.584895429411787,2023,9.763356716624804
Sort_hummer,fish,77.91837676284388,Autumn,398.46169995410617,36.42970799193391,10.167591819533492,6.922419390846578,2022,17.285020317852595
Ising,fish,98.47016912344112,Autumn,591.7514433261301,48.90383163519786,9.071050858035816,6.55957595798642,2020,9.04611874943086
Flodkrebs,fish,116.71485028823606,Winter,654.6499283743926,45.75205016106566,13.438082725040246,5.74869006439883,2023,6.777522778732777
Slethvar,fish,82.2814314006228,Winter,639.6920178674297,45.0066572138121,2.0,7.917417276430677,2020,9.392569846728092
Nordsøreje,fish,49.29944623770796,Spring,374.1173715166042,40.4977368718096,9.950168973022272,5.050994625903529,2021,11.062318633844328
Kuller,fish,101.11500389904018,Spring,453.6181436223178,40.07063158628176,9.682543727506909,9.89361513302374,2024,9.712992428851189
Hvilling,fish,89.22801867587701,Autumn,549.6895147105346,33.39678860526553,8.639090837224952,8.110005872066749,2022,10.506393460763679
Mørksej,shellfish,121.08037649564567,Spring,646.3317690683539,46.98828420202535,15.178679636906898,8.84486994580288,2021,13.036239688510475
Helleflynder,fish,91.75937257556369,Autumn,428.1238643232065,44.2097294438939,7.338011623432687,7.067622776107554,2024,10.712574898936563
Havtaske,fish,106.8632843998556,Summer,472.1511535004274,44.920188479928,12.315388531706985,7.265592131576503,2022,11.195882987820768
Rødspætte,fish,63.40906911630278,Summer,334.0497538990958,34.7396515733242,11.068758366118251,8.575127810334656,2020,3.6375585636680587
Ørred,shellfish,62.195131151764855,Autumn,320.5690063878994,18.46657080128756,13.784557757606548,5.671898735188349,2022,13.301810873648176
Skærising,fish,105.17797634401931,Winter,621.8788733591297,50.97152711753696,7.998432745667484,7.284019131173328,2020,11.089664830618327
Gedde,fish,126.9510905886923,Winter,703.4360042856234,35.21162543991596,7.801093302628724,6.280772972243092,2024,18.907347710221206
Ørred,fish,94.74393697071068,Summer,489.19848176294994,31.372242359568794,13.288209722432196,6.218862378817971,2020,7.178000230631794
Line_blåmusling,fish,120.88150399061028,Winter,650.5299346838036,46.934789119139936,11.27596392499033,3.780323518748717,2023,3.181841488902233
Rødspætte,fish,86.92973216960128,Winter,554.2454037571451,36.0798736008087,5.365187959969724,10.67865317896,2020,14.343115072078193
Lyssej,shellfish,115.3930328704631,Autumn,403.2320368092314,50.59936384046622,8.38208495661019,6.6269224936924624,2024,13.094024284239802
Line_blåmusling,fish,99.36297885407605,Summer,554.2093408262621,46.17005949576698,11.159147961544182,10.3267521103271,2021,6.86120810555673
Hvilling,fish,121.0530048658065,Spring,730.7054849698955,46.83569323200477,12.513292664639769,10.137584642788584,2021,4.463154806981179
Rødtunge,fish,93.96023100662877,Summer,494.62609413350725,26.34044288799465,7.962308040421135,5.428000586967013,2023,18.572024961147736
Mørksej,shellfish,118.02290130898479,Spring,734.6965483721009,52.11943985386401,2.0,5.823177528654309,2020,18.004907796791198
Knurhane,fish,44.26664588188523,Autumn,107.03823438653836,42.61250531233856,11.5696695572111,13.121005918711369,2023,2.3000000000000003
Sort_hummer,shellfish,123.18508937528355,Winter,623.2853756562836,36.307228607537965,6.339037930168073,11.501851883854286,2023,9.392174065420097
Ising,fish,118.75688539191509,Summer,513.0570602357257,41.43388467342251,3.947983605632766,7.936962973343792,2020,19.15528345200594
Fjordreje,fish,80.78246082782096,Autumn,455.1488974301199,22.2376476710168,2.0,8.514746212834698,2024,9.310112234221814
Sandart,fish,108.90376717970813,Spring,513.7641164803254,44.08652811480671,12.441942580593224,6.738307194105623,2020,9.243183723477399
Ørred,fish,61.256050261785596,Autumn,201.8646628098661,29.70628491817929,10.3858523512149,8.86470542840068,2023,10.199307092904906
Jomfruhummer,shellfish,80.201683248359,Autumn,467.0492168243732,26.473297141564657,9.323030857863245,6.565636198555057,2023,6.343873920666466
Knude,fish,78.68859525547671,Summer,553.5668857267619,24.77640813782109,14.167073088888284,3.935292471403231,2024,3.6580315765509965
Torsk,shellfish,118.35495206352188,Spring,721.6841067112274,51.12688374989925,11.911974049069215,5.356888426977898,2023,16.341717629379843
Sandart,shellfish,69.83479650636097,Summer,422.2594672589529,33.707366063072115,14.848900128165749,8.042185495701174,2020,3.0224902312606927
Levende_norsk_kongekrabbe,fish,105.77411449623588,Autumn,378.72595956602186,55.33727709916499,5.82179358349901,5.737865528994824,2023,12.63744867970028
Hvilling,fish,97.28587832046264,Spring,424.7364434623195,34.64198536947702,9.89634812813811,7.865445070172931,2020,15.578265666685189
Knude,shellfish,111.72237061808931,Summer,637.3103176553111,22.92642042407053,5.149859875155958,5.850677921134274,2021,4.824359025054672
Hvilling,fish,95.67650379289881,Spring,549.3126664489527,28.83475560051341,9.311853004433598,6.435292154996013,2023,7.248365348062671
Knude,fish,86.35639407572033,Winter,420.53596943494415,52.35811620006939,9.254152438699968,9.706330612826385,2024,17.080624266601312
Kulmule,fish,112.44733318198627,Winter,576.9901149670034,38.441018220633325,11.879840911789213,8.494961095280209,2024,13.951301913044384
Skærising,fish,107.78790877085775,Autumn,514.5616324022061,34.51712703509399,10.136691643425696,7.980671157373306,2022,8.66048574835712
Skærising,shellfish,126.65278612217038,Summer,645.2967485799334,41.60018225852788,11.870221414839747,9.757927946141304,2021,17.030345415461387
Kuller,fish,75.40094201851974,Winter,394.6920359183972,45.01782736167545,12.110320399416684,8.961217186694695,2021,17.050064327889793
Nordsøreje,shellfish,83.8256904606378,Autumn,450.8506780103348,51.17398815902461,16.464786032149426,10.893126582502736,2021,12.737642387872253
Canadisk_hummer,fish,98.3262225664883,Summer,441.1837770301764,54.484992298929264,9.054110034141626,7.08028147536972,2022,7.359262951781151
Makrel,shellfish,62.31500715391493,Autumn,280.4727577801822,36.40231354210914,7.176931898000863,7.140730042944982,2023,9.598135964029742
Rødspætte,fish,96.67618254701358,Winter,544.4180415596865,26.739523139179617,10.738250845949226,5.397781467217309,2022,12.817379022194794
Skærising,fish,88.3420026966605,Autumn,539.1582908269834,35.86534838876724,7.593159918581369,7.14203856525516,2022,10.632463785921557
Rødspætte,fish,104.58598573188793,Summer,500.76701849636913,42.60280506582886,14.445882305309608,9.929539788604892,2021,15.819203019880316
Canadisk_hummer,fish,70.56630047054081,Summer,464.811929993728,30.36241073789389,9.150345883164302,10.599974744524268,2023,4.463039231497055
Fjæsing,fish,63.62978383926772,Winter,287.6943886924379,30.42849085104957,8.303270896378029,9.920610336173336,2022,4.626387766295302
Flodkrebs,shellfish,95.3557413151695,Spring,436.90320158519614,43.437878815498856,8.586052836546646,4.411616266901127,2020,12.33200711281919
Kuller,fish,98.16047006281721,Spring,448.59282252098456,39.51347648429549,12.155252270414923,10.166290425321469,2024,9.238895696488239
Skærising,fish,62.54238945104108,Autumn,379.6584096167572,40.327969954115865,9.526759050305545,4.322962753455858,2021,8.615576372390393
Hvilling,fish,87.87416981794969,Winter,475.80714325009865,32.41504665299931,8.074999539608854,9.796234648244695,2023,3.3669390917977733
Fjæsing,fish,96.20439891558999,Summer,560.6076285221808,37.69599285794233,14.996055752870593,7.26443094685789,2021,11.589910886071639
Hornfisk,fish,140.12335659155173,Winter,782.9278851815795,30.757668557316958,7.43149047801475,9.405066627867711,2024,11.257326503196479
Stenbider,fish,113.41344579504795,Winter,526.1866719247759,48.90198411124787,10.10669822209898,5.335103304210868,2022,14.506003316978008
Fjordreje,shellfish,107.04805501198031,Spring,538.6325586084147,50.35249334723753,11.956918454830692,10.342335265412292,2023,11.816968212356473
Knurhane,fish,107.06320326583538,Autumn,488.8331126350749,21.538121377619063,5.10599466874878,5.070050507790223,2022,10.890021240093716
Rødtunge,fish,54.09816891355317,Autumn,212.18431770514377,30.7048913980759,11.440781504217776,6.663090178293645,2022,16.91420292923555
Ørred,fish,80.97584707543479,Autumn,496.02291868261744,25.03470744909921,6.834676973558652,6.00381074446193,2021,5.462650404136671
Line_blåmusling,fish,100.87640452370984,Autumn,509.034531491154,33.49976065593102,12.468348342502008,4.491430294355002,2024,13.967390406698852
Smelt,fish,152.95673072586357,Winter,869.4863168727929,39.16562030209639,7.112046964243071,8.189055135176936,2024,3.8127230419413958
Ørred,fish,102.98699826916075,Autumn,471.1458552828316,25.503547803014698,12.07830709554658,11.612178235673923,2022,7.643535351996285
Nordsøreje,fish,105.77736600219535,Spring,545.2321013500418,30.78140186874687,13.31749919888414,13.33381044464002,2024,5.921777189932757
Rødtunge,fish,84.68819503022597,Autumn,494.7932345442135,29.96042627918501,12.584309576898416,8.194311574172495,2021,15.096935663078824
Slethvar,fish,66.73176346495593,Winter,324.6982943570701,42.07267329398944,10.753949944714307,10.233362550135045,2021,11.199112925461188
Helleflynder,fish,124.0639510894251,Autumn,671.4234221772531,40.6934433703625,9.3060971712109,8.464189275857075,2024,11.437885074872307
Østers,fish,85.89697701995945,Winter,612.7899549030161,32.78262446662747,8.270741270995469,8.997766389536425,2021,6.409028256444525
Jomfruhummer,fish,113.08141553205758,Spring,618.654792056457,41.76820872139398,14.413104072451311,7.315702697745523,2022,10.121409918708707
Sandart,fish,82.14234903701173,Winter,363.5918817807892,34.533199154127345,7.90151433949707,8.390153850845204,2023,7.988059604778087
Pighvar,fish,101.59049700742142,Winter,710.4191466404149,37.283448896739465,6.888801779290011,9.074957409212857,2021,13.263893068329395
Sort_hummer,fish,82.43214608305449,Spring,289.7223405811579,56.734520902985366,11.99610680509849,6.843080542247337,2022,6.940980777474578
Laks_vild,shellfish,126.54871182603678,Autumn,588.0285640700406,53.40461051790348,7.611589590440514,7.845011400214024,2023,17.61705407994335
Canadisk_hummer,fish,116.30096416193402,Autumn,828.5683438714968,27.004187630724022,7.149809507601619,7.883139762005023,2021,3.7923299317291654
Sild,fish,76.39377101142479,Winter,351.41955123039673,48.29732417879175,5.669187213490705,9.652806634661047,2022,7.790008770699818
Skrubbe,fish,72.22114266294895,Winter,415.0553405595842,48.11396554491592,8.551270481618447,5.867935656744638,2021,19.21512234584404
Sandart,fish,88.52365282056978,Spring,514.9477047631461,28.517367112473817,9.75185492831052,7.896915582784697,2022,9.498361759374644
Kulmule,fish,71.71646943429151,Autumn,424.47865188257015,48.18777643754861,10.729275182982096,11.824010938105395,2020,5.451558143739705
Knurhane,fish,70.27749841427612,Winter,267.4004853400801,55.37931918412553,12.85391873289845,10.328120305171876,2020,12.507729187673275
Ising,fish,87.47476123314476,Summer,510.2844462209041,28.774551937555863,11.580693770997382,10.69835809777741,2021,9.313195685813108
Lange,fish,55.406492837998506,Winter,340.65444294108426,30.824971789857365,9.42738334134046,8.04886368035607,2020,7.654996824155794
Lyssej,shellfish,89.98874379095665,Spring,571.0388645952772,50.17661466843502,9.40541297086084,8.641995127372047,2020,6.4589942703259
Line_blåmusling,shellfish,78.27437202695303,Winter,362.0863648649295,42.71495310825648,11.53047240674555,10.00447233340585,2023,24.234518585879343
Ørred,fish,140.3221982348064,Winter,732.4901607526309,45.51476275239524,13.817710488785709,11.120511059061862,2024,10.342861259152976
Makrel,fish,72.29653917169414,Winter,382.51200614956446,43.40589216400497,10.3789425984496,4.096794174234226,2021,2.642390142468766
Smelt,fish,108.82889787145592,Spring,451.69077256914863,43.90695920928144,8.592607437368773,5.369117385900308,2021,18.37106489142546
Laks_vild,fish,101.17558198971986,Spring,622.0275826054504,26.73527871688917,7.021401996743363,10.618888202805296,2022,14.310926163508626
Torsk,fish,70.11350154339557,Summer,315.3703525349067,50.47317706621448,5.664384206763323,7.446221288462393,2020,7.974254417308976
Knurhane,shellfish,95.17552438629866,Winter,534.1189901906195,51.69589992427774,11.998809016130568,6.656558421483846,2020,7.207652192043748
Multe,fish,83.01391834473843,Winter,696.0714131423642,37.70609255931972,11.733935570918671,5.491678026008792,2024,14.597974862327863
Nordsøreje,fish,71.50984924665201,Winter,258.87751481581586,39.56523050186138,11.732090575319983,6.889966596911782,2020,10.364175693548509
Pighvar,fish,81.86131224969199,Autumn,527.6950787798456,24.688924974442777,9.614021660943832,5.19526143315235,2024,2.640502035152535
Lyssej,fish,113.95983946231478,Summer,538.9824191372635,45.14254756017835,14.220804237675251,12.182188545464951,2021,19.721303837181477
Gedde,fish,85.75323978723048,Summer,617.2734307665966,45.72057441714144,8.547644516245548,7.955127896038853,2021,9.503643873806599
Multe,shellfish,79.52635772599226,Spring,314.45739336828774,39.37808983000689,12.865807711621615,7.884098916474564,2022,18.379629987819165
Hvilling,fish,77.56825705674304,Winter,301.9315080373585,51.24353359870503,9.883771315031373,9.176153350335664,2023,17.380800806642288
Multe,shellfish,100.30465150255795,Winter,578.2912348425347,36.6592276902006,8.174947705961987,9.92469033853314,2023,6.895356095379055
Hvilling,fish,107.87899801337446,Spring,544.547700984978,45.646059258936006,11.777590921953283,9.89177631310928,2020,16.25267337607048
Levende_norsk_kongekrabbe,fish,89.04553489078515,Summer,537.5739275518815,29.803356613078844,11.22890835605198,10.147243887815144,2020,8.503364270627067
Dansk_10-armet_blæksprutte,fish,101.12993485303679,Autumn,551.9672314245463,39.76447849125762,11.07091827780078,6.738308898418287,2021,2.913177300701868
Rødspætte,fish,93.48803080467628,Autumn,397.9962917632264,38.25645742097164,10.243835266168595,7.404266390086278,2022,9.546848436298145
Knurhane,shellfish,98.01757713258885,Spring,534.8380545741505,42.25307922040942,9.886320754849509,9.538063310884551,2020,13.329132508170884
Multe,fish,81.9176866731993,Spring,543.9608709948022,36.304730711666416,17.165115978611315,6.94522187672076,2020,9.371411419216848
Aborre,fish,65.89571702494811,Winter,392.8472872960448,38.68527404328332,13.552769935588518,7.98978673594555,2022,10.087577631744534
Canadisk_hummer,fish,141.18657868261818,Spring,779.8661766717134,48.26047171441506,12.168480684956537,8.797527528849628,2022,16.760403806671622
Torsk,fish,118.87364290964051,Autumn,571.0749381367681,35.63235762761782,10.335397474610163,9.570370164620751,2024,11.989872309334423
Mørksej,shellfish,41.28119165267418,Winter,321.3044754196027,23.934228992613207,13.021471601790008,4.444638075259597,2023,7.620827768089218
Knurhane,fish,108.07936512414318,Autumn,598.4830412950745,57.49583904205421,11.553984329174355,9.42949129977789,2024,14.729339488869702
Gedde,fish,81.49449444571482,Summer,353.7977494659018,53.814540786904864,10.078614258322109,7.532551884296549,2022,12.409307607989529
Ising,shellfish,72.71744036569937,Spring,618.0626905613678,27.07737304894381,9.089307024202254,9.414915421728764,2020,2.3000000000000003
Kulmule,fish,119.27306365337901,Winter,673.7893368511106,46.897078052451945,9.757247987011937,9.553863384709658,2022,13.470423403348665
Havtaske,fish,84.27567806198815,Summer,376.8976522472434,34.97025229448657,2.0,11.215830122238316,2020,13.302412055494067
Rødspætte,fish,120.75962402821034,Spring,644.5064193866483,42.6348721533106,10.631802517892924,10.706907295242406,2024,11.592557196071958
Flodkrebs,fish,103.57779543254209,Spring,561.9171390404747,42.94224129013494,8.534571759668921,10.693143325220593,2021,15.601822672920049
Norske_kammusling_i_skal,fish,105.0167215193677,Spring,623.3090239991735,37.65592199683678,14.778009994848652,10.887340638332477,2022,8.406989512098091
Sort_hummer,fish,113.46785134244035,Winter,784.5189473980921,32.16234334413603,10.058032212435265,8.582757969631892,2024,13.047899028576143
Havkat,shellfish,60.64337267377963,Summer,463.1917825995694,33.094589476837406,6.433109741395114,8.06437017407368,2024,4.291986892630177
Kulmule,fish,78.22589424512155,Spring,386.93957534637656,30.838080845187577,9.850359537615647,9.74563416635667,2020,13.372615763634629
Pighvar,fish,88.40553422439636,Summer,366.5728355561715,31.681777917695552,6.861636744812487,9.464161902866046,2022,20.484074599483524
Havtaske,shellfish,78.00255035642182,Summer,377.6284572551842,39.328217099506446,11.4202222471374,7.38186752652348,2022,6.923660778649311
Helleflynder,shellfish,101.1825198442085,Spring,488.4347435878844,32.842400108892484,10.872842093018456,8.809646817616535,2024,8.004910192856235
Hvilling,fish,107.0094175272857,Summer,551.1727962224966,46.8205206571262,12.873518893324803,7.929807066430811,2023,8.23392896269886
Signalkrebs,shellfish,112.51541529083052,Spring,541.5036198995028,54.87246155335927,7.627354624916304,6.292134183079888,2020,12.097991838687339
Sild,fish,107.23856518769612,Summer,624.0774873554036,34.19946758629957,10.10202428868444,10.5809214827527,2020,6.610033144872896
Levende_norsk_kongekrabbe,shellfish,117.25272756007038,Winter,501.9502837816861,42.39404500535377,5.904934613720094,8.110398485060179,2024,13.43773794197851
Ørred,fish,123.02249478410262,Winter,718.0301115735975,44.996851103029336,12.104484345774145,12.0974165153977,2020,15.395463749158159
Makrel,fish,100.47916638892666,Winter,460.30147501430656,44.72002270919275,11.556613541320369,4.749015459600335,2020,13.957997181887409
Ising,fish,139.2590620402033,Autumn,908.0253749884428,40.75955267916088,11.487415063082713,6.886442454313268,2022,3.365289042064868
Levende_norsk_kongekrabbe,fish,120.84263815155741,Winter,593.850102164751,47.426824183597226,10.004857094070823,8.065277673381743,2021,16.07777125972959
Fjæsing,shellfish,91.40538610048284,Winter,371.4263665375576,44.82248952680657,11.244318672366372,10.274762195257829,2021,15.811890105566928
Hvilling,fish,75.65545181385518,Spring,339.3661252908332,27.623375776727023,14.813017324925788,8.79893874520437,2023,15.318742312793
Skærising,fish,112.4947778214816,Winter,572.3708622864777,48.69156064389273,9.144717228873958,8.620945508361503,2024,13.215074343816797
Blåmusling,fish,101.29112223881718,Autumn,466.4805822011224,48.87290837266743,10.415935551130254,5.745472414891706,2021,12.512870845343611
Havkat,fish,112.6299739370803,Summer,607.1000741138138,32.367138958214184,6.74162110245577,5.686117205541057,2023,16.248991231381424
Makrel,fish,127.95499932311557,Autumn,570.9856436860317,40.37937835447602,7.3952171152050035,8.64500932057981,2023,20.348162042975893
Rødtunge,fish,93.19021768011815,Winter,489.0756631014691,46.833289928110695,10.293439879279925,5.271788012363283,2023,7.116013868521692
Nordsøreje,shellfish,71.04801719884368,Spring,372.9809422897392,37.90686180420639,13.31180064010572,6.936244499421343,2021,16.45937682065595
Østers,shellfish,76.61980610043656,Summer,272.77291629712033,50.729780477660114,9.231157527245283,9.001834658171715,2022,11.10340134916572
Levende_norsk_kongekrabbe,fish,91.67544325867716,Summer,433.0227571899469,63.638724946193605,9.292250412063629,6.035351455446448,2024,10.903503960668436
Hvilling,fish,96.66865458913185,Winter,628.4598191485209,32.140139673650175,8.779344266486875,11.210711924723611,2024,4.431958824242623
Helleflynder,fish,89.2645898578972,Summer,532.1140616195306,26.18955396846225,8.39572998746703,10.44787268847578,2020,10.189968716229183
Makrel,fish,59.93706609553506,Autumn,313.1391831932018,43.03818595604876,10.884914367126465,4.857160003323399,2021,6.912581193345289
Nordsøreje,shellfish,68.53914921094292,Winter,525.9771388776772,47.21562505126143,5.508227064464066,6.1352575136360255,2021,9.36626962427265
Rødspætte,fish,112.46513687594232,Summer,557.7976069593255,37.69133626155231,13.842818730000182,3.4284455110101,2022,6.448342634620511
Line_blåmusling,shellfish,77.22157594557089,Spring,367.42138456983,54.53260663321034,8.00373310561162,6.434817274903733,2022,9.435021418360172
Multe,fish,73.35017541461482,Autumn,523.0587658918292,26.613942002767512,12.165710456314423,9.5327769531448,2021,9.631892357692346
Helt,shellfish,100.13235779940398,Summer,508.7313077669,46.92918623031611,6.190004207818372,7.172210115450286,2022,11.945072624818481
Kuller,shellfish,74.33165046678258,Winter,328.55445532540654,33.94139179241107,12.006520391638654,8.921594487231935,2020,4.072150633459877
Torsk,fish,100.44346736524186,Spring,553.6681040522425,57.19377906207296,12.015833823443494,4.955331363436512,2024,4.850616520371512
Ørred,fish,103.15103312787821,Autumn,584.1176789552352,59.92515353168118,11.15260621601769,9.59595050916381,2024,13.164805645360422
Helleflynder,fish,89.95846771025569,Summer,662.4576864762915,32.33343412216652,7.016714434600623,6.8897815441433,2022,7.831784661477545
Slethvar,shellfish,141.0399864237966,Spring,658.0703078052354,34.5044286409142,10.748644568794232,8.02433936456581,2023,16.442837035057686
Hornfisk,fish,58.93722345769031,Summer,293.3495948064364,48.59587886979802,6.450831445796833,7.814250997213895,2020,12.536240721269214
Hornfisk,fish,59.06488445308889,Summer,359.3262440127316,36.12869350210485,9.241710234711444,5.456902958215432,2022,14.291105890949474
Signalkrebs,fish,104.13856747684196,Winter,577.255290081299,39.54588782067762,13.08823930286598,5.693831336520436,2020,17.989184673936116
Ørred,shellfish,114.12143991606257,Winter,577.0678926368313,40.2538842054241,12.390105781212226,9.935588938006852,2024,10.075330265689766
Knurhane,fish,113.0211861918077,Summer,577.2571529459071,20.80326843802344,10.0455488276213,8.797984315003392,2021,8.857361155085131
Knurhane,fish,162.7247387852148,Spring,1077.909723598208,39.86162253905763,7.075580272231474,10.100098083106854,2020,15.509831893754543
Hvilling,fish,101.74801466933879,Winter,585.633576603975,33.10272225935826,11.93676313652258,8.649316471005037,2024,13.843762394076556
Jomfruhummer,fish,97.98196889869926,Autumn,670.3348460270898,35.06877177600228,10.058143713094076,8.285981269618432,2022,10.63828057482202
